Semester,Course Number,Faculty,Available_Timeslots,Course_Incharge
3,AMS2612,ToD,"T4,T5,T6",ToD
3,COC2032,TA-APC4,"T1,T2,T3,T4,T5,T6",TA
3,COC2062,NA,"T1,T2,T3,T4,T5,T6",NA
3,COC2072,MMSB-APC1,"T1,T2,T3",MMSB
3,COC2122,APC4,"T1,T2,T3,T4,T5,T6",APC4
3,COC2932,NA-SI-AS-TA-APC2,"L1E,L2E,L3E,L4E",NA
3,ELA2112,ToD,"T4,T5,T6",ToD
4,AMS2622,ToD,"T2",ToD
4,AMS2632,ToD,T3,ToD
4,COC2082,MI,T5,MI
4,COC2142,MHK,T6,MHK
4,ELA2902,ToD,"L1E,L2E",ToD
4,COC2922,"IZ*,MMSB,MAQ","L1E",IZ
4,COC2922,"IZ*,MMSB,MSU,MAQ","L2E",IZ
4,COC2942,"SI*,TA,HJ,MA","L3E",SI
4,COC2942,"SI*,TA,HJ,MA","L4E",SI
4,ELA2412,ToD,T4,ToD
5,COC3092,AS-APC3,"T1,T2,T3,T4,T5,T6",AS
5,COC3102,MI,"T1,T2,T3,T4,T5,T6,T7",MI
5,COC3162,SUA,"T1,T2,T3,T4,T5,T6,T7",SUA
5,COC3932,AMA-RA-MRW-MHK,"L1E,L2E,L3E,L4E",AMA
5,COP3802,TA-MI-APC4,"L1E,L2E,L3E,L4E",TA
5,ELA3402,ToD,"T1,T2,T3,T4,T5,T6",ToD
5,MEH3452,ToD,"T1,T2,T3,T4,T5,T6,T7,T9",ToD
5,OE,ToD,"T8",ToD
6,COC3110,TA,T4,TA
6,COC3120,MA,T5,MA
6,COC3130,AMA,T6,AMA
6,COC3150,"MS*,HJ",T9,MS
6,COC3800,"TA*,MI,SUA",L3M1,TA
6,COC3960,"RA*,AMA,MRW,MHK","L3E",RA
6,COC3960,"RA*,AMA,MHK","L4E",RA
6,COC3940,"AS*,NA,SUA,MS","L1E",AS
6,COC3940,"AS*,NA,SUA,MS","L2E",AS
6,HM,ToD,T7,ToD
7,COC4012,APC3,"T1,T2,T3,T4,T5,T6,T7,T9",APC3
7,COC4062,MRW,"T1,T2,T3,T4,T5,T6,T7,T9",MRW
7,COC4962,MAQ-MSU-IZ-MI,"L1E,L2E,L3E,L4E",MAQ
7,COP4982,AS-ALL,"L6E",AS
7,DE1,DE1,,DE1
7,DE2,DE2,,DE2
7,DE3,DE3,,DE3
8,COE4590,AS,T6,AS
8,COE4420,IZ,T2,IZ
8,COE4520,MAQ,T5,MAQ
8,COE4380,MMSB,T3,MMSB
8,COC4990,"AS*,All_Teachers",L6E,AS
8,OE,ToD,T8,ToD
2,A1C-G2: COA1912,"NA2*,MI,HJ,AH",L1E,NA2
2,A1A-G1: COA1912,"NA2*,HJ,MA,MH",L2E,NA2
2,A1B-G2: COA1912,"NA2*,MS,AI,MH",L3E,NA2
2,A1C-G1: COA1912,"NA2*,MI,SUA,AH",L4E,NA2
2,A1B-G1: COA1912,"NA2*,MS,SUA,AH",L6E,NA2
2,A1A-G2: COA1912,"NA2*,MHK,MA,MH",L6M1,NA2
0,COA2602,HJ,T5,HJ
0,COA3600,MS,T2,MS
13,COO4470,SUA,T8,SUA